created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-04-22T15:05:15+00:00,1,-2,0,8,0,0,-1,0,,,,
2024-04-22T15:05:16+00:00,2,0,-1,0,0,0,0,0,,,,
2024-04-22T15:05:17+00:00,3,2,0,0,0,0,0,0,,,,
2024-04-22T15:05:18+00:00,4,0,0,0,0,0,0,0,,,,
2024-04-22T15:05:19+00:00,5,0,0,-6,-1,0,0,0,,,,
2024-04-22T15:05:20+00:00,6,-1,2,-3,0,0,1,0,,,,
2024-04-22T15:05:21+00:00,7,0,0,0,0,0,0,0,,,,
2024-04-22T15:05:22+00:00,8,1,0,0,1,0,0,0,,,,
2024-04-22T15:05:23+00:00,9,0,-2,3,0,0,0,0,,,,
2024-04-22T15:05:24+00:00,10,0,0,0,0,0,0,0,,,,
2024-04-22T15:05:25+00:00,11,-1,-1,1,0,0,0,0,,,,
2024-04-22T15:05:26+00:00,12,0,-1,0,0,0,0,0,,,,
2024-04-22T15:05:27+00:00,13,0,0,-1,0,0,0,0,,,,
2024-04-22T15:05:28+00:00,14,0,0,-1,0,0,0,0,,,,
2024-04-22T15:05:30+00:00,15,-1,1,-2,0,0,0,0,,,,
2024-04-22T15:05:31+00:00,16,0,-1,-1,0,0,0,0,,,,
2024-04-22T15:05:32+00:00,17,-1,-1,-2,0,0,0,0,,,,
2024-04-22T15:05:33+00:00,18,0,-4,0,-1,0,-1,0,,,,
2024-04-22T15:05:34+00:00,19,-1,0,-1,0,-1,0,0,,,,
2024-04-22T15:05:35+00:00,20,-1,4,2,-1,0,0,0,,,,
2024-04-22T15:05:36+00:00,21,4,7,3,0,0,0,0,,,,
2024-04-22T15:05:37+00:00,22,0,5,0,0,0,-1,0,,,,
2024-04-22T15:05:38+00:00,23,-4,7,1,-1,-1,0,0,,,,
2024-04-22T15:05:39+00:00,24,-5,5,4,-1,-2,0,0,,,,
2024-04-22T15:05:40+00:00,25,4,11,5,2,0,-1,0,,,,
2024-04-22T15:05:41+00:00,26,-2,3,-1,-1,-1,-1,0,,,,
2024-04-22T15:05:42+00:00,27,-4,3,-1,0,0,1,0,,,,
2024-04-22T15:05:43+00:00,28,-3,6,1,-1,0,0,0,,,,
2024-04-22T15:05:44+00:00,29,-2,5,3,1,1,1,0,,,,
2024-04-22T15:05:45+00:00,30,4,6,2,-1,0,1,0,,,,
2024-04-22T15:05:46+00:00,31,-3,7,4,0,0,1,0,,,,
2024-04-22T15:05:47+00:00,32,0,5,4,0,0,0,0,,,,
2024-04-22T15:05:48+00:00,33,0,7,3,-1,0,1,0,,,,
2024-04-22T15:05:49+00:00,34,-1,3,1,0,0,0,0,,,,
2024-04-22T15:05:50+00:00,35,-3,5,3,3,0,0,0,,,,
2024-04-22T15:05:51+00:00,36,18,7,2,0,0,-2,0,,,,
2024-04-22T15:05:52+00:00,37,0,3,0,0,0,0,0,,,,
2024-04-22T15:05:53+00:00,38,0,0,0,0,1,0,0,,,,
2024-04-22T15:05:54+00:00,39,0,0,0,0,0,0,0,,,,
2024-04-22T15:05:55+00:00,40,-1,0,0,0,0,0,0,,,,
2024-04-22T15:05:56+00:00,41,1,-1,2,0,0,0,0,,,,
2024-04-22T15:05:57+00:00,42,-1,-2,0,0,0,0,0,,,,
2024-04-22T15:05:58+00:00,43,-1,-1,-1,0,0,0,0,,,,
2024-04-22T15:05:59+00:00,44,0,-1,2,0,0,0,0,,,,
2024-04-22T15:06:00+00:00,45,1,5,3,0,0,0,0,,,,
2024-04-22T15:06:01+00:00,46,-1,1,3,0,0,0,0,,,,
2024-04-22T15:06:02+00:00,47,-1,1,4,0,0,0,0,,,,
2024-04-22T15:06:03+00:00,48,0,5,4,1,0,0,0,,,,
2024-04-22T15:06:04+00:00,49,2,6,1,1,0,-2,0,,,,
2024-04-22T15:06:06+00:00,50,0,6,2,0,0,0,0,,,,
2024-04-22T15:06:07+00:00,51,-5,2,0,0,0,0,0,,,,
2024-04-22T15:06:08+00:00,52,2,3,3,0,-1,0,0,,,,
2024-04-22T15:06:09+00:00,53,0,4,2,-1,-1,0,0,,,,
2024-04-22T15:06:10+00:00,54,1,3,0,0,0,-1,0,,,,
2024-04-22T15:06:11+00:00,55,-1,1,0,0,0,0,0,,,,
2024-04-22T15:06:12+00:00,56,3,4,5,0,0,-1,0,,,,
2024-04-22T15:06:13+00:00,57,-1,4,5,1,1,0,0,,,,
2024-04-22T15:06:14+00:00,58,-2,4,-3,0,0,-1,0,,,,
2024-04-22T15:06:15+00:00,59,1,5,-1,-1,0,1,0,,,,
2024-04-22T15:06:16+00:00,60,0,3,0,0,0,0,0,,,,
2024-04-22T15:06:17+00:00,61,-4,4,4,0,0,0,0,,,,
2024-04-22T15:06:18+00:00,62,0,3,4,1,0,-1,0,,,,
2024-04-22T15:06:19+00:00,63,2,9,1,0,0,0,0,,,,
2024-04-22T15:06:20+00:00,64,-5,2,0,-1,0,0,0,,,,
