created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-04-22T15:13:25+00:00,1,0,-1,-1,0,0,0,0,,,,
2024-04-22T15:13:26+00:00,2,0,-1,-2,0,0,0,0,,,,
2024-04-22T15:13:27+00:00,3,0,-1,-2,0,0,0,0,,,,
2024-04-22T15:13:28+00:00,4,0,0,-2,0,0,0,0,,,,
2024-04-22T15:13:29+00:00,5,0,-1,-1,0,0,0,0,,,,
2024-04-22T15:13:30+00:00,6,0,0,-2,0,0,0,0,,,,
2024-04-22T15:13:31+00:00,7,0,0,-2,0,0,0,0,,,,
2024-04-22T15:13:32+00:00,8,0,-1,-2,0,0,0,0,,,,
2024-04-22T15:13:33+00:00,9,0,0,-2,0,0,0,0,,,,
2024-04-22T15:13:34+00:00,10,0,0,-1,0,0,0,0,,,,
2024-04-22T15:13:35+00:00,11,0,0,0,0,0,0,0,,,,
2024-04-22T15:13:36+00:00,12,1,-1,0,0,0,0,0,,,,
2024-04-22T15:13:37+00:00,13,1,0,0,0,0,0,0,,,,
2024-04-22T15:13:38+00:00,14,0,0,0,0,0,0,0,,,,
2024-04-22T15:13:39+00:00,15,0,0,-1,0,0,0,0,,,,
2024-04-22T15:13:40+00:00,16,2,0,-2,0,0,0,0,,,,
2024-04-22T15:13:41+00:00,17,0,0,0,0,0,0,0,,,,
2024-04-22T15:13:42+00:00,18,0,0,0,0,0,0,0,,,,
2024-04-22T15:13:43+00:00,19,-2,0,0,0,0,0,0,,,,
2024-04-22T15:13:44+00:00,20,-1,0,0,0,0,0,0,,,,
2024-04-22T15:13:45+00:00,21,-1,0,0,0,0,0,0,,,,
2024-04-22T15:13:46+00:00,22,0,0,1,0,0,0,0,,,,
2024-04-22T15:13:47+00:00,23,1,0,0,0,0,0,0,,,,
2024-04-22T15:13:48+00:00,24,0,1,0,0,0,0,0,,,,
2024-04-22T15:13:49+00:00,25,1,1,0,0,0,0,0,,,,
2024-04-22T15:13:51+00:00,26,-1,0,1,0,0,0,0,,,,
2024-04-22T15:13:52+00:00,27,-2,0,5,0,-1,0,0,,,,
2024-04-22T15:13:53+00:00,28,-1,-3,1,-3,0,0,0,,,,
2024-04-22T15:13:54+00:00,29,-5,-5,0,0,0,0,0,,,,
2024-04-22T15:13:55+00:00,30,-3,-7,-1,0,0,0,0,,,,
2024-04-22T15:13:56+00:00,31,-3,-5,-2,0,0,0,0,,,,
2024-04-22T15:13:57+00:00,32,-2,-8,-2,-1,1,0,0,,,,
2024-04-22T15:13:58+00:00,33,-4,-8,0,1,0,-1,0,,,,
2024-04-22T15:13:59+00:00,34,-2,-4,9,0,-1,0,0,,,,
2024-04-22T15:14:00+00:00,35,-4,-4,7,0,0,0,0,,,,
2024-04-22T15:14:01+00:00,36,-4,-9,0,0,0,0,0,,,,
2024-04-22T15:14:02+00:00,37,-1,-1,4,0,0,0,0,,,,
2024-04-22T15:14:03+00:00,38,-4,-4,3,0,0,0,0,,,,
2024-04-22T15:14:04+00:00,39,1,0,1,1,0,-1,0,,,,
2024-04-22T15:14:05+00:00,40,2,6,3,1,0,-1,0,,,,
2024-04-22T15:14:06+00:00,41,0,4,1,0,0,0,0,,,,
2024-04-22T15:14:07+00:00,42,-5,7,0,0,0,0,0,,,,
2024-04-22T15:14:08+00:00,43,-4,4,1,0,0,0,0,,,,
2024-04-22T15:14:09+00:00,44,-1,5,4,-1,0,0,0,,,,
2024-04-22T15:14:10+00:00,45,3,6,2,-1,0,1,0,,,,
2024-04-22T15:14:11+00:00,46,0,3,3,-1,0,0,0,,,,
2024-04-22T15:14:12+00:00,47,-1,0,3,1,0,0,0,,,,
2024-04-22T15:14:13+00:00,48,-3,0,2,0,0,0,0,,,,
2024-04-22T15:14:14+00:00,49,-3,1,0,0,0,0,0,,,,
2024-04-22T15:14:15+00:00,50,0,1,1,1,0,0,0,,,,
2024-04-22T15:14:16+00:00,51,1,-1,2,1,0,-1,0,,,,
2024-04-22T15:14:17+00:00,52,0,-3,4,0,1,0,0,,,,
2024-04-22T15:14:18+00:00,53,2,0,-1,1,-1,0,0,,,,
2024-04-22T15:14:19+00:00,54,0,-2,-3,0,0,0,0,,,,
2024-04-22T15:14:20+00:00,55,-1,2,-1,0,0,1,0,,,,
2024-04-22T15:14:21+00:00,56,-3,1,0,-1,0,1,0,,,,
2024-04-22T15:14:22+00:00,57,2,4,-2,1,2,2,0,,,,
2024-04-22T15:14:23+00:00,58,3,3,1,-1,2,0,0,,,,
2024-04-22T15:14:24+00:00,59,4,4,-1,0,0,0,0,,,,
2024-04-22T15:14:25+00:00,60,1,4,0,0,0,-1,0,,,,
2024-04-22T15:14:27+00:00,61,0,3,2,0,0,0,0,,,,
2024-04-22T15:14:29+00:00,62,-2,3,0,0,1,0,0,,,,
2024-04-22T15:14:30+00:00,63,4,2,0,2,-1,-3,0,,,,
