created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-04-22T14:52:01+00:00,1,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:02+00:00,2,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:03+00:00,3,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:04+00:00,4,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:05+00:00,5,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:06+00:00,6,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:07+00:00,7,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:08+00:00,8,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:09+00:00,9,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:10+00:00,10,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:12+00:00,11,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:13+00:00,12,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:14+00:00,13,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:15+00:00,14,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:16+00:00,15,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:17+00:00,16,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:18+00:00,17,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:19+00:00,18,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:20+00:00,19,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:21+00:00,20,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:22+00:00,21,0,0,0,0,0,0,0,,,,
2024-04-22T14:52:23+00:00,22,0,0,1,0,0,0,0,,,,
2024-04-22T14:52:24+00:00,23,0,0,3,0,0,0,0,,,,
2024-04-22T14:52:25+00:00,24,-2,-1,-4,-2,0,0,0,,,,
2024-04-22T14:52:26+00:00,25,-1,-2,3,0,0,0,0,,,,
2024-04-22T14:52:27+00:00,26,-7,6,12,-1,0,1,0,,,,
2024-04-22T14:52:28+00:00,27,-8,3,10,0,0,0,0,,,,
2024-04-22T14:52:29+00:00,28,-9,4,10,2,0,0,0,,,,
2024-04-22T14:52:30+00:00,29,-10,2,3,-1,0,0,0,,,,
2024-04-22T14:52:31+00:00,30,-10,9,11,-3,0,0,0,,,,
2024-04-22T14:52:32+00:00,31,-11,5,10,0,-1,0,0,,,,
