created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-04-14T19:36:35+00:00,1,0.01,-0.00,0.12,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:36:50+00:00,2,-0.01,-0.00,0.13,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:37:05+00:00,3,-0.01,-0.00,0.13,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:37:20+00:00,4,-0.01,0.00,0.12,-0.00,-0.00,0.00,,,,,
2024-04-14T19:37:35+00:00,5,-0.01,-0.00,0.12,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:37:50+00:00,6,-0.00,0.01,0.12,-0.00,-0.00,0.00,,,,,
2024-04-14T19:38:05+00:00,7,0.01,-0.01,0.13,0.00,-0.00,0.00,,,,,
2024-04-14T19:38:21+00:00,8,-0.01,-0.01,0.11,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:38:35+00:00,9,0.00,-0.01,0.10,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:38:50+00:00,10,0.00,-0.00,0.11,-0.00,-0.00,0.00,,,,,
2024-04-14T19:39:05+00:00,11,-0.00,-0.01,0.12,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:39:20+00:00,12,-0.01,0.00,0.11,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:39:36+00:00,13,0.01,0.00,0.13,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:39:51+00:00,14,-0.00,0.01,0.11,0.00,-0.00,0.00,,,,,
2024-04-14T19:40:06+00:00,15,0.01,-0.00,0.11,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:40:21+00:00,16,0.01,0.06,0.15,-0.00,0.00,-0.00,,,,,
2024-04-14T19:40:36+00:00,17,-0.01,0.08,0.17,-0.00,0.00,-0.00,,,,,
2024-04-14T19:40:51+00:00,18,-0.00,0.08,0.16,-0.00,-0.00,0.00,,,,,
2024-04-14T19:41:06+00:00,19,-0.01,0.08,0.16,-0.00,0.00,0.00,,,,,
2024-04-14T19:41:21+00:00,20,-0.07,0.10,0.31,0.00,0.02,-0.00,,,,,
2024-04-14T19:41:36+00:00,21,0.01,0.01,0.11,-0.00,-0.00,0.00,,,,,
2024-04-14T19:41:51+00:00,22,0.01,0.01,0.12,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:42:06+00:00,23,0.00,0.00,0.11,0.00,-0.00,-0.00,,,,,
2024-04-14T19:42:21+00:00,24,-0.00,-0.00,0.14,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:42:36+00:00,25,-0.01,0.00,0.13,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:42:51+00:00,26,-0.01,0.00,0.11,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:43:06+00:00,27,0.01,0.00,0.11,0.00,-0.00,0.00,,,,,
2024-04-14T19:48:15+00:00,28,-9.98,0.41,9.77,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:49:04+00:00,29,-9.98,0.40,9.74,-0.00,0.00,-0.00,,,,,
2024-04-14T19:49:19+00:00,30,-9.97,0.40,9.75,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:49:34+00:00,31,-9.97,0.40,9.76,0.00,0.00,-0.00,,,,,
2024-04-14T19:49:49+00:00,32,-9.99,0.40,9.74,-0.00,0.00,-0.00,,,,,
2024-04-14T19:50:41+00:00,33,-9.99,0.39,9.74,0.01,-0.01,-0.05,,,,,
2024-04-14T19:50:42+00:00,34,-9.94,0.41,9.73,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:50:43+00:00,35,-9.94,0.42,9.75,-0.00,0.01,-0.00,,,,,
2024-04-14T19:50:44+00:00,36,-9.96,0.41,9.76,0.00,-0.00,-0.00,,,,,
2024-04-14T19:50:45+00:00,37,-9.97,0.39,9.76,-0.00,-0.01,-0.00,,,,,
2024-04-14T19:50:46+00:00,38,-6.09,0.29,8.88,0.06,-1.19,0.30,,,,,
2024-04-14T19:50:47+00:00,39,-2.82,0.02,6.67,-0.25,-2.13,0.03,,,,,
2024-04-14T19:50:49+00:00,40,-0.05,-0.64,0.03,0.01,-0.01,0.01,,,,,
2024-04-14T19:50:50+00:00,41,-0.08,-0.61,0.86,-0.00,-0.06,0.01,,,,,
2024-04-14T19:50:53+00:00,42,1.15,-0.64,-0.07,-0.07,-3.17,0.37,,,,,
2024-04-14T19:50:55+00:00,43,-0.09,-0.66,0.69,0.01,0.01,-0.00,,,,,
2024-04-14T19:50:56+00:00,44,-0.09,-0.68,0.73,0.00,0.01,-0.00,,,,,
2024-04-14T19:50:58+00:00,45,-0.08,-0.66,0.70,-0.00,-0.00,-0.00,,,,,
2024-04-14T19:50:59+00:00,46,-0.10,-0.63,0.78,-0.00,0.00,0.00,,,,,
2024-04-14T19:51:00+00:00,47,-0.09,-0.63,0.79,0.00,-0.01,0.00,,,,,
2024-04-14T19:51:01+00:00,48,-0.08,-0.64,0.76,-0.00,0.02,-0.01,,,,,
